HIP,RA_deg,Dec_deg,Vmag,BV
267,0.83541112,-4.14573041,8.0900,0.4550
268,0.84180567,59.07861165,8.1800,1.4620
269,0.84205196,23.57504990,8.7700,1.1250
270,0.85005688,73.17449052,7.3600,0.1460
271,0.85277163,-35.96517367,9.1600,0.2320
272,0.85551618,-26.41518293,8.8200,0.9790
273,0.85687021,-46.83096933,11.1400,0.0410
274,0.85715406,63.64052431,6.2400,0.3320
275,0.85767485,-29.00061360,9.4400,0.4390
276,0.85791177,20.66591788,7.4900,0.6360
277,0.85927886,-36.25120504,6.9600,0.3530
278,0.86311931,55.55090206,7.9400,-0.0230
279,0.86377495,62.35780416,8.6900,0.1200
280,0.86626632,53.31270092,8.1500,0.1340
281,0.87618718,55.05995058,8.4500,1.6550
282,0.87642718,19.38157170,7.9200,1.4080
283,0.87715545,12.35682896,7.4500,0.3530
284,0.87833784,-65.82756660,9.0100,0.9560
285,0.88067333,-35.60222342,8.5500,1.2120
286,0.88130145,78.71780714,9.2300,1.0060
287,0.88580553,-13.22726530,9.1600,1.5380
288,0.88875927,42.35221969,7.9000,1.0710
289,0.90235854,-51.80908752,8.6800,1.0110
290,0.90411412,-31.09403248,7.7800,0.5630
291,0.90454413,-28.41713516,8.2100,-0.1230
292,0.90870678,70.30603307,8.1100,-0.0190
293,0.91589999,-57.16443914,8.2900,0.4880
294,0.91715645,3.90700467,7.8900,0.4010
295,0.91866516,-41.09585606,9.6700,0.3970
296,0.92207847,-28.39584776,8.2400,0.7800
297,0.92444478,48.43692667,6.8000,0.0600
298,0.92695552,13.36518977,8.1800,1.0150
299,0.93377179,-63.60066163,8.4400,0.5080
301,0.93488487,-17.33597002,4.5500,-0.0470
300,0.93490863,42.02349764,7.4500,0.2440
302,0.96511407,66.71220273,6.3100,1.6290
303,0.96915935,57.37827711,8.1500,0.3160
304,0.96979503,22.29607151,8.2700,0.1360
305,0.97206281,-28.39376930,7.6600,0.7410
306,0.97473996,-57.83035720,8.5900,0.6160
307,0.97971157,-42.55949968,11.5500,1.2600
308,0.98353978,14.37891704,7.0900,0.3030
309,0.98590855,-45.28859728,8.5400,0.2300
310,0.98741047,-43.19150360,9.5800,0.7000
311,0.98758897,36.97021204,8.4400,0.4560
312,0.98959785,61.10364174,8.5900,0.3600
313,0.99110213,-48.12518732,8.0100,0.4060
314,0.99172662,20.95381941,8.2900,0.5400
315,0.99220988,-71.27863488,9.6200,0.6570
316,1.00099668,12.14583388,7.2600,0.3550
317,1.00253201,-80.39507010,7.9100,0.3140
